                A Homogeneous Main-Sequence Model

 
 The surface conditions are:          The central conditions are:

 Mtot =      1.000000 Msun            Mc/Mtot     = -1.55336E-03
 Rtot =      0.989686 Rsun            Rc/Rtot     =  3.40000E-02
 Ltot =      1.000000 Lsun            Lc/Ltot     =  4.91427E-01
 Teff =   5800.000000 K               Density     =  0.00000E+00 g/cm**3
 X    =      0.750000                 Temperature =  0.00000E+00 K
 Y    =      0.248000                 Pressure    =  0.00000E+00 dynes/cm**2
 Z    =      0.002000                 epsilon     =  0.00000E+00 ergs/s/g
                                      dlnP/dlnT   =  2.49927E+00

 
 
 Notes: 
 (1) Mass is listed as Qm = 1.0 - M_r/Mtot, where Mtot =  1.989000E+33 g
 (2) Convective zones are indicated by c, radiative zones by r
 (3) dlnP/dlnT may be limited to +99.9 or -99.9; if so it is labeled by *


      r       Qm       L_r       T        P       rho      kap      eps   dlPdlT
  5.26E+10 1.75E-03 3.83E+33 9.51E+05 3.97E+12 2.99E-02 6.11E+00 5.17E-11 r  4.4
  5.27E+10 1.72E-03 3.83E+33 9.46E+05 3.87E+12 2.94E-02 6.12E+00 4.77E-11 r  4.4
  5.28E+10 1.68E-03 3.83E+33 9.41E+05 3.77E+12 2.88E-02 6.14E+00 4.41E-11 r  4.5
  5.28E+10 1.65E-03 3.83E+33 9.35E+05 3.68E+12 2.83E-02 6.15E+00 4.07E-11 r  4.5
  5.29E+10 1.61E-03 3.83E+33 9.30E+05 3.59E+12 2.77E-02 6.17E+00 3.75E-11 r  4.5
  5.30E+10 1.58E-03 3.83E+33 9.25E+05 3.50E+12 2.72E-02 6.18E+00 3.46E-11 r  4.5
  5.30E+10 1.55E-03 3.83E+33 9.20E+05 3.41E+12 2.66E-02 6.20E+00 3.19E-11 r  4.5
  5.31E+10 1.52E-03 3.83E+33 9.14E+05 3.33E+12 2.61E-02 6.21E+00 2.93E-11 r  4.5
  5.32E+10 1.48E-03 3.83E+33 9.09E+05 3.24E+12 2.56E-02 6.23E+00 2.70E-11 r  4.5
  5.32E+10 1.45E-03 3.83E+33 9.04E+05 3.16E+12 2.51E-02 6.25E+00 2.49E-11 r  4.5
  5.33E+10 1.42E-03 3.83E+33 8.99E+05 3.08E+12 2.46E-02 6.26E+00 2.29E-11 r  4.5
  5.34E+10 1.39E-03 3.83E+33 8.94E+05 3.00E+12 2.41E-02 6.28E+00 2.10E-11 r  4.5
  5.35E+10 1.36E-03 3.83E+33 8.88E+05 2.93E+12 2.37E-02 6.29E+00 1.94E-11 r  4.5
  5.35E+10 1.33E-03 3.83E+33 8.83E+05 2.85E+12 2.32E-02 6.31E+00 1.78E-11 r  4.5
  5.36E+10 1.30E-03 3.83E+33 8.78E+05 2.78E+12 2.27E-02 6.33E+00 1.63E-11 r  4.5
  5.37E+10 1.28E-03 3.83E+33 8.73E+05 2.71E+12 2.23E-02 6.34E+00 1.50E-11 r  4.5
